B, N1
aa, 0.505592572150566
ab, 0.433276277373547
ac, 0.845779830116780
ae, 0.599210714883999
af, 0.376821030319923
ag, 0.005757602049453
ah, 0.907093178856099
ai, 0.114843707202401
aj, 0.832650543480381
al, 0.341472260491775
an, 0.138500570222883
ao, 0.801311513905964
ap, 0.120219905384537
aq, 0.929257019503268
ar, 0.270147220428918
as, 0.268939806758007
at, 0.313866208201908
aw, 0.043905846846693
ax, 0.733084094904031
az, 0.386067472169479
ba, 0.454539019915629
bb, 0.614085463131646
bc, 0.398311339631607
bd, 0.354944932380760
bf, 0.846946902099979
bg, 0.438820126262410
bi, 0.445557218833299
bj, 0.731290934576734
bk, 0.848608939949069
bm, 0.587738392194752
bp, 0.925993000800746
bq, 0.277712871751312
br, 0.411618871956412
bs, 0.257164716456940
bu, 0.084080589027283
bv, 0.439187890288075
by, 0.904936251430179
bz, 0.486657878357266
ca, 0.330920052083157
cb, 0.210484999332349
cd, 0.467678549510076
ce, 0.256252966830924
cf, 0.141537503194137
cg, 0.692742892047099
ch, 0.649945787668560
ci, 0.552632786265520
cj, 0.254365019908853
ck, 0.717256046417745
cl, 0.549217995081823
cm, 0.722789317647989
cn, 0.812576980743795
co, 0.774070023756304
cp, 0.422414922662325
cq, 0.619191410602329
cs, 0.341132398137126
cv, 0.770183835390248
cw, 0.522275405621633
cx, 0.554163165578005
da, 0.956186884592846
dc, 0.669976836399665
dd, 0.182943846857610
dg, 0.496508625453930
di, 0.355361625610930
dj, 0.733916318390637
dk, 0.701379728272136
dl, 0.173431189836152
dm, 0.276604597219568
do, 0.216202271263896
dp, 0.216731570960731
dq, 0.561919657028137
dr, 0.346176378043732
ds, 0.619433609564571
dt, 0.269457001120409
du, 0.944318988943772
dv, 0.640419910079537
dw, 0.511955791690390
dx, 0.255961933242880
dy, 0.085517871438661
dz, 0.178818715322454
ea, 0.463608949611396
ec, 0.973964021999828
ed, 0.837154418371771
ef, 0.255764956215936
eg, 0.377557364340669
eh, 0.609877866348245
ei, 0.755490001212345
em, 0.441484638981459
en, 0.638143890037004
eo, 0.635316102984622
eq, 0.641287067622447
er, 0.383287009818728
es, 0.068503741619015
et, 0.744155217766499
eu, 0.641359277588321
ev, 0.528639150356267
ew, 0.715122729983584
ex, 0.085605727132660
ez, 0.937059566943328
fc, 0.873470315764195
fd, 0.128362829171451
fe, 0.971877825842241
ff, 0.765683820487510
fg, 0.694190312888748
fh, 0.460434757050516
fi, 0.507744376913569
fj, 0.361305985727541
fk, 0.477257564775902
fl, 0.952974842645879
fm, 0.383117575472984
fn, 0.561661826312693
fp, 0.611621582311020
fq, 0.506730960033645
fr, 0.141047689483402
fs, 0.358555224061837
fu, 0.680204034553541
fv, 0.271911510526997
fy, 0.391832824063409
ga, 0.098610318945878
gb, 0.753158413044170
gc, 0.892972669688056
gd, 0.674840552176993
ge, 0.923664418919174
gf, 0.171974064963175
gh, 0.373979262358373
gi, 0.753591867895964
gj, 0.265007811845833
gk, 0.634049108950966
gl, 0.060025252339616
gm, 0.393120343599616
gn, 0.881041211422018
gp, 0.267507995448349
gr, 0.662080738169148
gs, 0.845391250978876
gt, 0.151781420788298
gu, 0.986380063812321
gv, 0.249039521658240
gw, 0.629792092597968
gx, 0.271522502271207
gy, 0.583794320136336
gz, 0.433699530397186
hc, 0.255594555368970
he, 0.727944030817594
hf, 0.650241362502840
hg, 0.507942313738494
hi, 0.678971562025183
hj, 0.666396377603766
hk, 0.897213834570058
hl, 0.431099302177103
hm, 0.035277717887334
ho, 0.034065527480503
hr, 0.384597092722619
hs, 0.637515016806640
ht, 0.542538129464334
hu, 0.496697039082493
hv, 0.418926515176363
hw, 0.570882350132651
hx, 0.377931491526949
hy, 0.448084094493242
hz, 0.798372899423633
ia, 0.170839243542540
ib, 0.499597350593399
ic, 0.568768444666244
ie, 0.256401315795431
if, 0.120339122556974
ig, 0.340763262071124
ii, 0.764311893602091
ij, 0.338445673101101
ik, 0.337686584447119
il, 0.289031945402910
im, 0.854799125232506
in, 0.615412632250689
io, 0.437815663644802
iq, 0.687157747304434
is, 0.939086121929346
it, 0.398139738369032
iu, 0.439729190032695
iv, 0.122556147815674
ix, 0.407347157787943
ja, 0.543045858307953
jb, 0.461431871131440
jc, 0.542683811066854
je, 0.766563173827616
jf, 0.557437419796940
jh, 0.473955690573696
ji, 0.869066469263049
jj, 0.724155749896882
jl, 0.749944511589119
jn, 0.102355906692799
jo, 0.307884009806493
jp, 0.688750937756962
jq, 0.281377470528847
jr, 0.644426482616042
js, 0.647328795503778
jt, 0.292857679885442
jv, 0.160735879530183
jw, 0.471058611681920
jx, 0.568457647641343
jy, 0.941078115852752
jz, 0.523467832369857
ka, 0.329429224899517
kb, 0.643905533178603
kc, 0.558982109883666
kd, 0.397744189382083
ke, 0.890794459469233
kh, 0.618693683152793
ki, 0.728036116390416
kj, 0.530581591424097
kk, 0.061795478961335
kn, 0.630353473403445
kp, 0.830404169800148
kq, 0.704897604060705
kr, 0.763748118635338
ks, 0.295764397374271
kt, 0.753247800876260
kv, 0.873953681176650
kw, 0.913652371310878
kx, 0.630276722268497
ky, 0.640732023327596
kz, 0.314562497421170
la, 0.184748508885642
lb, 0.775176483354988
ld, 0.539358143564585
