A, N0
a, 0.401982429987095
b, 0.527232264809447
c, 0.595697674610305
d, 0.469500279035039
e, 0.405559100403968
f, 0.470922864558411
g, 0.482831513684028
h, 0.553740054523882
i, 0.459194052321156
j, 0.530729735726323
k, 0.485073305799900
l, 0.440338206925978
m, 0.526179299470351
n, 0.389446406671313
o, 0.500922321619329
p, 0.536127240421511
q, 0.419409039075830
r, 0.589858215731037
s, 0.597225753678586
t, 0.456336310341954
u, 0.516116412570578
v, 0.500345102312371
w, 0.433525658129251
x, 0.490240240947882
y, 0.476280261173324
z, 0.503466091095577
