C, N2
aae, 0.015616597018418
aaj, 0.945286233217789
aam, 0.518559497912989
abe, 0.479730445988201
abh, 0.203676592187732
abk, 0.445302187331498
abo, 0.543844079621970
aby, 0.799172905155984
adh, 0.411822272659099
aer, 0.914505893726689
aey, 0.722254756283032
afg, 0.901484784965787
aia, 0.765221912850939
ail, 0.092311012835824
aip, 0.483209519090494
air, 0.398126243157586
aiu, 0.855465207753971
ajc, 0.450825993791378
ajq, 0.310865532391809
aka, 0.419449629858643
ano, 0.924330090107851
apy, 0.949015492955741
aqd, 0.441220761078289
aqw, 0.716305662320412
arf, 0.752215446745914
arr, 0.645875658516825
arw, 0.398166341212440
arx, 0.619477157755253
asa, 0.491969945408125
asq, 0.794310705556894
atj, 0.751724065844803
atq, 0.825082836286368
atv, 0.505776708435582
atw, 0.070234100088808
avd, 0.934136834126282
avn, 0.424518619476954
avp, 0.931011708203854
avs, 0.366996928696988
aws, 0.677674922996188
axq, 0.851565426558028
axz, 0.301910243684290
ayx, 0.074219784392716
aza, 0.412365967488042
bam, 0.051973322448228
bar, 0.707101248826246
bbb, 0.005602195052032
bbp, 0.585909265943981
bcn, 0.019663492481419
bcs, 0.751118400050154
bdc, 0.547151738874895
beo, 0.405133146397749
bev, 0.705083214865961
bey, 0.558982746365264
bfa, 0.600832160845115
bfq, 0.121068380002620
bfs, 0.024933321018833
bgd, 0.128142357817977
bgh, 0.964187912588601
bgq, 0.568151424067473
bhn, 0.246591915548456
bif, 0.391632670514586
bit, 0.604327426052406
biz, 0.832385136418386
bjd, 0.294409949018724
blf, 0.685511462943317
bls, 0.965645968698638
bnj, 0.645496567150682
bnm, 0.758674423946641
bnu, 0.213070659626860
boq, 0.751731908680181
bpt, 0.340544074419380
bpy, 0.834072768889050
bqq, 0.224258406779822
brr, 0.424878343976745
bsa, 0.976209410182567
bsc, 0.273952707283934
bsr, 0.119058671216841
bsx, 0.515016720197538
bth, 0.447579961335650
bti, 0.967128320658826
btl, 0.420922379695588
bwf, 0.521764668526329
bwi, 0.768330873683527
bwl, 0.417313853690076
byf, 0.550531943538225
byq, 0.630202509351901
bzz, 0.361313498850356
cag, 0.140030503698817
caj, 0.559824924179432
caw, 0.116827231498523
cay, 0.884134267301519
cbt, 0.469325364904947
ccl, 0.373683324042279
ccr, 0.699244690259502
cct, 0.352332765713921
cda, 0.243953907196083
cee, 0.251298632786440
cew, 0.248668176765874
cfs, 0.876476213259736
cgf, 0.626396417345563
cgk, 0.481128669326133
chg, 0.066633620070776
cjl, 0.940234231797680
cke, 0.502901105803274
ckg, 0.405399259465302
clx, 0.704324710115309
clz, 0.865272146013480
cmd, 0.430217826720456
cms, 0.477837602990918
cna, 0.608665704932028
cng, 0.305258768933760
coe, 0.244500987627817
coo, 0.627334327004775
cpo, 0.108559334914233
cqj, 0.849259923219392
cqw, 0.260341499247420
cri, 0.636621735850471
csg, 0.797075013331156
css, 0.023505832899078
csy, 0.407305789059489
cuf, 0.866392687936019
cuo, 0.079630633140505
cvc, 0.075261868981317
cwh, 0.144886953361239
cwm, 0.973273941932896
cwr, 0.991621118222512
cww, 0.267429828715646
cyf, 0.486352438356041
czd, 0.971091574581720
czj, 0.540902168822927
czk, 0.749093192718087
czo, 0.075763598481504
dam, 0.188839155179692
dar, 0.064112109724802
dcx, 0.159780387647497
dfl, 0.559371931729474
dfo, 0.111357361409662
dhc, 0.187764611132771
dhs, 0.008007338352290
diu, 0.141347603761796
dks, 0.402598574931271
dkz, 0.930135237326285
dlh, 0.009795256375814
dln, 0.705710160014136
dmv, 0.170707208495849
dmw, 0.518064261698703
dot, 0.492345527928575
dpp, 0.132623462314143
dqf, 0.265620782127842
drg, 0.037751550925946
dsy, 0.213436843834012
dtf, 0.594397024244921
dth, 0.539475561489955
dtq, 0.469649113632006
dtt, 0.511060555030626
dud, 0.439247707924827
duo, 0.453780804684414
dus, 0.978188818167392
dwd, 0.221684963025227
dyh, 0.954948995152591
dyk, 0.643276654357251
dyv, 0.357531007127229
dzu, 0.090306716391803
eap, 0.453972182821572
eaq, 0.778831375822776
ebw, 0.438504073456020
ecd, 0.940749389265131
ece, 0.000153271665037
ecs, 0.717348126656030
eda, 0.095646824434035
edc, 0.423634291331230
efe, 0.444914778313224
efu, 0.461499577581395
egk, 0.519969101611405
ehn, 0.577747725647334
ehx, 0.632204605640598
eiy, 0.576539959633704
emj, 0.514618149256749
eob, 0.792518379385615
eoe, 0.581852015776335
eop, 0.138975852057336
eot, 0.771934207014189
epw, 0.024220193022428
ern, 0.308832990091587
euo, 0.347714573619563
eve, 0.784583424505458
evi, 0.838857909861673
evn, 0.630100513461809
ewl, 0.075173364661142
ezb, 0.097016035308179
ezd, 0.693384918452338
ezy, 0.190653461116884
fac, 0.669700940785803
fan, 0.662578429892225
fbf, 0.339102600915292
fbj, 0.277683037008927
fee, 0.329066079271867
ffn, 0.052823843348933
ffq, 0.529520850509660
fhn, 0.981664697701785
fjk, 0.413106963584366
fjr, 0.365642466766380
fka, 0.674330793580217
fkm, 0.695134086328716
flu, 0.101954635192696
fmc, 0.659571296520890
fmk, 0.099306539967046
fnr, 0.984040902870914
fon, 0.993630090699760
fqj, 0.304776999552091
ftx, 0.674848766453799
fuo, 0.211378743387755
fus, 0.179959879373149
fuz, 0.149896078292236
fwj, 0.591683637615060
fxz, 0.822137710288008
fys, 0.674309299972139
fzg, 0.692179589915909
gar, 0.083506003871267
gbg, 0.471604551763851
gbm, 0.747198824299392
gbw, 0.433790256454452
gcq, 0.482770783362001
gcs, 0.491572781278207
gds, 0.272406770805077
gef, 0.858984980459655
geq, 0.265356886766880
gew, 0.373509260245173
gfg, 0.723985049477961
gfp, 0.335065291040992
gfw, 0.532967078145164
gfz, 0.299483985705172
ggq, 0.555207391630140
gjs, 0.586166491471897
gke, 0.234546714863576
gky, 0.483510668639890
gld, 0.920693385965837
gmo, 0.147005293210145
gna, 0.392472469239485
gnp, 0.516581886579352
gnu, 0.326508884274538
goq, 0.112657874263919
gor, 0.420488934473627
gpl, 0.638149577019463
gpx, 0.433936214082110
grg, 0.837698821244175
gue, 0.324778745699807
gvl, 0.253299261679627
gwh, 0.467903387792607
gwq, 0.448595288714797
gwv, 0.111896746117458
gyc, 0.539621131197214
gyh, 0.945917231513935
gys, 0.292203732991965
gyy, 0.621557012609205
gzh, 0.487786027361309
gzs, 0.526880264706081
gzt, 0.928990403817579
hap, 0.350610342357893
hav, 0.773539998260167
hbw, 0.459038680235678
hci, 0.272368524618039
hdy, 0.695755096212087
hej, 0.723610826208202
hek, 0.909396469740932
hep, 0.765362903495742
hez, 0.993629375796224
hfd, 0.818773815289769
hfl, 0.093820276522191
hgg, 0.726213119817585
hgo, 0.450676835816775
hhh, 0.287374395697352
hib, 0.189932186318059
hin, 0.456908591288638
hiy, 0.937025077311451
hje, 0.764353662385235
hlz, 0.478989779865019
hmj, 0.363278346861436
hmm, 0.348413191806199
hmq, 0.662208481398759
hof, 0.281246098678693
hpd, 0.124224829916475
hqg, 0.510427523954191
hqx, 0.975252862346599
hrk, 0.638258172156302
hrt, 0.874807302015765
htf, 0.945889775232188
htg, 0.476130363616934
htn, 0.090597329190522
huc, 0.766024628991795
huo, 0.334395768680738
hwe, 0.164381463382499
hwj, 0.095922802982781
hwn, 0.585315085396422
hwz, 0.168169075730908
hxe, 0.929989023273719
hxq, 0.867021919627655
hxu, 0.188825979038293
hyj, 0.841596425764332
iat, 0.961294088550275
ibs, 0.714043738761967
ics, 0.278078910024281
ict, 0.449601043151150
idx, 0.468657813692204
ifp, 0.509060691186845
ifv, 0.789958438324548
igb, 0.588436240888880
igd, 0.941519761430303
igl, 0.141409478175248
ijq, 0.473918152338195
ijs, 0.072831908919413
ijt, 0.556084700019633
ijz, 0.281819702715902
ilz, 0.267041860588242
imj, 0.039538135511919
imk, 0.096414179307696
imq, 0.768564360083094
imz, 0.156652166333929
iny, 0.948955505670132
iof, 0.078918408669083
iog, 0.898327293915515
ipd, 0.161379835717591
irl, 0.901712755859243
ito, 0.997433561382530
itv, 0.784327631879914
iuw, 0.588259759701887
ivh, 0.395025948236999
ivq, 0.355515807398406
ivs, 0.337505296093788
iww, 0.267233777411979
iwx, 0.770884185975178
ixw, 0.570842154830217
iys, 0.550257084394490
iyu, 0.913118609349218
izg, 0.247607081535740
izh, 0.594646372641310
jav, 0.346898007754210
jbr, 0.501733838421675
jbu, 0.323572109824103
jcn, 0.340523122908637
jcr, 0.870034637820068
jde, 0.716122651120373
jfo, 0.864762388005437
jfy, 0.991289566160256
jge, 0.096175632544415
jhb, 0.812473890830094
jhf, 0.011604301838253
jjs, 0.534885441499301
jkd, 0.238180305972398
jkp, 0.644884795338851
jlm, 0.415647170724933
jnu, 0.899964241765858
jnw, 0.154383416025426
jos, 0.224646242841579
jrc, 0.759890912618389
jsa, 0.369946529297356
jsw, 0.077514804034955
jtr, 0.770260094868179
jua, 0.199143928506687
jul, 0.814267316239657
jus, 0.471490389050561
jvb, 0.495045850629420
jve, 0.893885817950004
jvz, 0.357824061969220
jwt, 0.279117351837279
jxq, 0.345174535738991
jyd, 0.522604525958856
jzi, 0.492102349694229
jzq, 0.098613042653240
jzs, 0.929378314820812
jzt, 0.655601477622285
jzu, 0.166057949711568
jzx, 0.789039512212890
kas, 0.775366746800734
kaz, 0.136072386527987
kbo, 0.066472154806943
kbw, 0.546322858912689
kck, 0.375423103407425
kcn, 0.321584282396072
kdx, 0.638064226234910
kfg, 0.512854987944531
kgl, 0.759953953116244
khm, 0.102931544254151
kho, 0.786237240767838
khv, 0.146184875313362
kiw, 0.029776938089123
kjf, 0.712718289607314
kko, 0.851153992471226
kkv, 0.924695578700231
kmp, 0.384244981564542
kmy, 0.482564967345677
knu, 0.459572198868972
kog, 0.201986369205662
koy, 0.511178430120054
kpj, 0.638338894409506
kpt, 0.612370673585781
kpw, 0.224478527440803
kqc, 0.840317799500997
kqd, 0.934673746046971
kqi, 0.526065400001720
krm, 0.136936959029237
krp, 0.362283282365300
kst, 0.592309765921440
ktn, 0.062201925431463
kuc, 0.376508744698960
kva, 0.645725650320860
kxg, 0.866857626000650
kxl, 0.509959932971566
kyu, 0.102525804514774
kzg, 0.688623243757868
kzl, 0.008969652833070
kzy, 0.226391619986125
lah, 0.982668735408233
lav, 0.140281690042132
lax, 0.755850842123403
lbe, 0.430060695749949
lbi, 0.801653707973983
lde, 0.199671549021736
ldz, 0.912984948699996
lfk, 0.625290289514252
lgj, 0.152431257538674
lgn, 0.780564667776399
lgq, 0.316464834497000
lhd, 0.941479183322374
lhm, 0.202540805741562
lhn, 0.694063716808226
lia, 0.144424601250437
liv, 0.252545703414478
lje, 0.275871552359127
llo, 0.649761914858093
lml, 0.403661519913674
lol, 0.581228937098654
lpm, 0.937252518884002
lra, 0.455543235926190
lro, 0.071093467818409
lrx, 0.571247924542298
lup, 0.404042379195392
lvx, 0.947876099153619
lwq, 0.810378007362043
lwz, 0.948478071044360
lxs, 0.975099794872695
lzc, 0.458186063480192
lzf, 0.563501049341692
lzl, 0.405727553623556
mak, 0.041276725349014
man, 0.164456952223308
mar, 0.113434704321582
mbh, 0.063443976504764
mbn, 0.939908392825560
mbu, 0.841890153067875
mbx, 0.552939654447055
mcc, 0.346203621164578
mcz, 0.588166386803294
mdn, 0.040126826493750
mea, 0.329282728507108
mer, 0.779877578301809
mfq, 0.304061571346221
mgi, 0.637097768829940
mgk, 0.824834149687524
mgu, 0.394068410639509
mia, 0.388173826480742
mid, 0.629865345029465
mkw, 0.272484536117661
mln, 0.869974217207997
mnf, 0.411186960869107
mnr, 0.345607048892724
mog, 0.098193898683347
mon, 0.549564348807890
mos, 0.359430920463195
mpi, 0.842268831184211
mpl, 0.126847049378487
mqv, 0.103244228272974
mro, 0.277120934023049
msp, 0.838025468419225
msx, 0.090028046116864
mtg, 0.405620891367346
mti, 0.877275674073634
mui, 0.823073342607931
